Ref,Val,Package,PosX,PosY,Rot,Side
"U15","TCA9546APWR","SOP65P640X120-16N",74.895000,-99.500000,0.000000,top
"U16","TCA9546APWR","SOP65P640X120-16N",74.985001,-66.785001,0.000000,top
"U17","TCA9546APWR","SOP65P640X120-16N",74.895000,-83.190000,0.000000,top
"U18","TCA9546APWR","SOP65P640X120-16N",74.900000,-77.200000,0.000000,top
"U19","TCA9546APWR","SOP65P640X120-16N",74.895000,-93.350000,0.000000,top
"U20","TCA9546APWR","SOP65P640X120-16N",74.800000,-50.400000,0.000000,top
"U21","TCA9546APWR","SOP65P640X120-16N",74.930000,-60.960000,0.000000,top
"U22","TLI4970","TLI4970",186.055000,-84.455000,180.000000,top
"U23","TLI4970","TLI4970",186.055000,-53.305000,180.000000,top
"U24","LTC2855CDEPBF","ltc2855",146.200000,-56.400000,180.000000,top
"U25","LTC2855CDEPBF","ltc2855",136.000000,-56.500000,180.000000,top
